season,internal_player_id,fantasypros_id,player_name,position,nfl_team,drafted,jugg_salary,jugg_owner,espn_salary_cap_value,espn_overall_rank,espn_position_rank,adp_espn,adp_yahoo,projected_points_jugg,prior_jugg_salary,player_pool_source
2023,nfl:gsis:00-0033106,15501,Jared Goff,QB,DET,False,,,0,184,20,153.0,165.0,322.197,1,espn
2023,nfl:gsis:00-0033110,15623,Tyler Higbee,TE,LAR,False,,,1,134,15,117.0,154.0,73.516,5,espn
2023,nfl:gsis:00-0033119,15642,Jacoby Brissett,QB,ARI,False,,,0,315,36,,,44.148,,espn
2023,nfl:gsis:00-0033280,16393,Christian McCaffrey,RB,SF,True,66,Ken Moller,51,8,3,3.0,2.0,249.315,70,espn_and_jugg
2023,nfl:gsis:00-0033282,16434,Curtis Samuel,WR,FA,False,,,0,177,66,,,88.425,1,espn
2023,nfl:gsis:00-0033288,16499,George Kittle,TE,SF,True,15,Joey Breeland,6,70,5,49.0,46.0,114.841,25,espn_and_jugg
2023,nfl:gsis:00-0033293,16673,Aaron Jones Sr.,RB,MIN,True,24,Nate Corbett,25,32,13,32.0,32.0,162.827,38,espn_and_jugg
2023,nfl:gsis:00-0033303,16712,Harrison Butker,K,KC,True,1,Brandon Martin,1,154,4,108.0,98.0,129.17,1,espn_and_jugg
2023,nfl:gsis:00-0033307,17066,Kendrick Bourne,WR,ARI,False,,,0,231,87,,,65.395,,espn
2023,nfl:gsis:00-0033308,17058,Matt Breida,RB,FA,False,,,0,238,75,,,40.711,2,espn
2023,nfl:gsis:00-0033357,17115,Taysom Hill,TE,FA,False,,,0,258,28,199.0,147.0,34.51,,espn
2023,nfl:gsis:00-0033526,16423,Samaje Perine,RB,CIN,True,2,Brandon Martin,2,112,38,121.0,121.0,108.938,,espn_and_jugg
2023,nfl:gsis:00-0033536,16377,Mike Williams,WR,FA,True,5,Lee Krassner,17,44,22,63.0,78.0,114.296,16,espn_and_jugg
2023,nfl:gsis:00-0033537,16398,Deshaun Watson,QB,CLE,True,5,Nate Corbett,6,73,8,66.0,90.0,289.805,14,espn_and_jugg
2023,nfl:gsis:00-0033553,16447,James Conner,RB,ARI,True,10,Brandon Martin,11,53,22,57.0,54.0,164.075,25,espn_and_jugg
2023,nfl:gsis:00-0033555,16489,Mack Hollins,WR,NE,False,,,0,229,85,,,47.181,,espn
2023,nfl:gsis:00-0033699,16483,Austin Ekeler,RB,FA,True,57,Brad Beissner,57,4,2,4.0,4.0,200.692,61,espn_and_jugg
2023,nfl:gsis:00-0033702,16910,Younghoe Koo,K,FA,True,1,Lee Krassner,1,160,10,152.0,113.0,123.45,4,espn_and_jugg
2023,nfl:gsis:00-0033787,16540,Jake Elliott,K,PHI,True,1,George Rodman,1,158,8,133.0,190.0,124.52,1,espn_and_jugg
2023,nfl:gsis:00-0033854,16879,Dare Ogunbowale,RB,LV,False,,,0,240,77,,,19.223,,espn
2023,nfl:gsis:00-0033857,16427,JuJu Smith-Schuster,WR,FA,False,,,2,108,49,115.0,160.0,81.88,16,espn
2023,nfl:gsis:00-0033873,16413,Patrick Mahomes II,QB,KC,True,30,Brandon Martin,30,26,1,12.0,16.0,404.645,23,espn_and_jugg
2023,nfl:gsis:00-0033881,16411,Evan Engram,TE,DEN,True,5,Nate Corbett,3,93,9,79.0,74.0,93.972,4,espn_and_jugg
2023,nfl:gsis:00-0033885,16399,David Njoku,TE,LAC,False,,,3,94,10,90.0,93.0,95.435,3,espn
2023,nfl:gsis:00-0033891,16431,Zay Jones,WR,HOU,False,,,0,174,63,177.0,191.0,76.357,,espn
2023,nfl:gsis:00-0033893,16374,Dalvin Cook,RB,FA,True,8,Lee Krassner,4,78,30,72.0,66.0,100.151,58,espn_and_jugg
2023,nfl:gsis:00-0033895,16459,Gerald Everett,TE,FA,False,,,1,140,17,159.0,220.0,70.374,,espn
2023,nfl:gsis:00-0033897,16420,Joe Mixon,RB,FA,True,33,George Rodman,28,29,10,23.0,28.0,185.388,48,espn_and_jugg
2023,nfl:gsis:00-0033906,16421,Alvin Kamara,RB,NO,True,12,Ken Moller,11,52,21,51.0,80.0,154.802,45,espn_and_jugg
2023,nfl:gsis:00-0033908,16433,Cooper Kupp,WR,SEA,True,49,Nate Corbett,43,13,6,14.0,10.0,155.786,52,espn_and_jugg
2023,nfl:gsis:00-0033921,16406,Chris Godwin Jr.,WR,TB,True,2,Robbie Bagwell,7,65,28,56.0,70.0,124.041,4,espn_and_jugg
2023,nfl:gsis:00-0033925,16407,D'Onta Foreman,RB,FA,True,1,Brandon Martin,0,168,54,,194.0,83.287,2,espn_and_jugg
2023,nfl:gsis:00-0033948,16424,Jamaal Williams,RB,FA,True,1,George Rodman,3,91,35,113.0,105.0,90.035,1,espn_and_jugg
2023,nfl:gsis:00-0033949,16417,Joshua Dobbs,QB,DET,True,1,Phil Carr,0,302,34,,,137.454,,espn_and_jugg
2023,nfl:gsis:00-0034115,18026,Jeff Wilson Jr.,RB,FA,False,,,0,202,61,168.0,197.0,70.317,,espn
2023,nfl:gsis:00-0034161,17420,Daniel Carlson,K,LV,True,2,Nate Corbett,1,152,2,111.0,92.0,123.92,1,espn_and_jugg
2023,nfl:gsis:00-0034173,17575,Eddy Pineiro,K,SF,False,,,0,191,11,,,108.8,,espn
2023,nfl:gsis:00-0034184,17687,Gus Edwards,RB,FA,False,,,0,163,49,206.0,192.0,108.032,1,espn
2023,nfl:gsis:00-0034270,17598,Tyler Conklin,TE,DET,False,,,0,214,22,186.0,144.0,62.212,,espn
2023,nfl:gsis:00-0034272,17528,Marquez Valdes-Scantling,WR,DAL,False,,,0,193,71,198.0,,74.864,1,espn
2023,nfl:gsis:00-0034348,17253,Courtland Sutton,WR,DEN,True,7,Brad Beissner,4,79,33,92.0,126.0,115.35,9,espn_and_jugg
